dataset,method,category,scope,seed,n_decisions,fee,annualization_factor,protocol_id,split_protocol_id,accounting_protocol_id,APV,GARR,ARR,AVol,ASR,MDD,Calmar,Turnover
DJIA30_2026,Proposed Feedback + Profit-score,M3 composition control,common fixed five-day,6,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,3.7177188413136655,0.9382927770500971,0.7747892602045636,0.47177938172528316,1.6422702861053027,0.37246579027510307,2.51913813710804,2.9361413895355133
DJIA30_2026,Proposed Feedback + Profit-score,M3 composition control,common fixed five-day,7,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,3.7169797707722174,0.9380985629859171,0.7746830340505456,0.4717691997320568,1.6420805650104542,0.37259054205649245,2.5177734190678462,2.9434438841390786
DJIA30_2026,Proposed Feedback + Profit-score,M3 composition control,common fixed five-day,8,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,3.918881820971268,0.9904612725609345,0.8036765838689803,0.4762325472117866,1.6875717306057523,0.3385103845939319,2.9259405845084063,1.0
DJIA30_2026,Proposed Feedback + Profit-score,M3 composition control,common fixed five-day,9,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,3.918881820971268,0.9904612725609345,0.8036765838689803,0.4762325472117866,1.6875717306057523,0.3385103845939319,2.9259405845084063,1.0
DJIA30_2026,Proposed Feedback + Profit-score,M3 composition control,common fixed five-day,10,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.3121118698695162,0.14671981116805188,0.17540265493127546,0.2778027700107027,0.6313927500597559,0.3465463604234418,0.4233771521616222,34.57452817539482
DJIA30_2026,Proposed Feedback J=1,M3 learner-count control,common fixed five-day,1,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,3.918881820971268,0.9904612725609345,0.8036765838689803,0.4762325472117866,1.6875717306057523,0.3385103845939319,2.9259405845084063,1.0
DJIA30_2026,Proposed Feedback J=1,M3 learner-count control,common fixed five-day,2,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.8009209156808671,-0.10585248038029704,-0.050715445545012845,0.34680279253927593,-0.14623713140738118,0.48641880890402367,-0.21761592776150854,29.954936497272655
DJIA30_2026,Proposed Feedback J=1,M3 learner-count control,common fixed five-day,3,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,3.918881820971268,0.9904612725609345,0.8036765838689803,0.4762325472117866,1.6875717306057523,0.3385103845939319,2.9259405845084063,1.0
DJIA30_2026,Proposed Feedback J=1,M3 learner-count control,common fixed five-day,4,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.225039253167058,0.10771389225048789,0.13859873842254114,0.2716782385577895,0.5101576746017491,0.27465514736349306,0.3921786767314201,41.681293278243785
DJIA30_2026,Proposed Feedback J=1,M3 learner-count control,common fixed five-day,5,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,3.918881820971268,0.9904612725609345,0.8036765838689803,0.4762325472117866,1.6875717306057523,0.3385103845939319,2.9259405845084063,1.0
DJIA30_2026,Proposed Feedback J=1,M3 learner-count control,common fixed five-day,6,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.4759756656777496,0.21679079455544326,0.2379876874910334,0.28736907791721805,0.8281603894751339,0.2711748292725432,0.7994502850320171,5.033881815900301
DJIA30_2026,Proposed Feedback J=1,M3 learner-count control,common fixed five-day,7,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,3.918881820971268,0.9904612725609345,0.8036765838689803,0.4762325472117866,1.6875717306057523,0.3385103845939319,2.9259405845084063,1.0
DJIA30_2026,Proposed Feedback J=1,M3 learner-count control,common fixed five-day,8,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,3.9224568646474145,0.9913762391423282,0.8039571335755399,0.4758179189511846,1.6896318981589677,0.3385103845939318,2.9286435047821566,5.027865866647678
DJIA30_2026,Proposed Feedback J=1,M3 learner-count control,common fixed five-day,9,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,3.918881820971268,0.9904612725609345,0.8036765838689803,0.4762325472117866,1.6875717306057523,0.3385103845939319,2.9259405845084063,1.0
DJIA30_2026,Proposed Feedback J=1,M3 learner-count control,common fixed five-day,10,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.2787660580194193,0.13193819505337734,0.15243857750541764,0.2380710277781442,0.6403071340855196,0.2923774900000028,0.45125975687586645,14.65975268574337
DJIA30_2026,Proposed No-Sparse + Reliability-policy,M1 control,common fixed five-day,1,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.4660913925851033,0.2126770711928978,0.2157676275776798,0.2129159221823504,1.0133935751074883,0.16414576592724783,1.2956598057312052,147.84319114538036
DJIA30_2026,Proposed No-Sparse + Reliability-policy,M1 control,common fixed five-day,2,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.1965488277952563,0.09465416675896643,0.11220350053738766,0.20908933625638876,0.5366294740148866,0.23048241831282912,0.41067846932469376,152.1569239874896
DJIA30_2026,Proposed No-Sparse + Reliability-policy,M1 control,common fixed five-day,3,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.5419254656447212,0.24389563569127404,0.2387857199732817,0.2022858640799379,1.1804370071006052,0.13157009993599433,1.853731477059935,143.81871961883155
DJIA30_2026,Proposed No-Sparse + Reliability-policy,M1 control,common fixed five-day,4,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.263323856363474,0.12502819699154566,0.13115155617926355,0.163505772357138,0.8021218718370098,0.11225871145860278,1.113750508686819,146.73599638186562
DJIA30_2026,Proposed No-Sparse + Reliability-policy,M1 control,common fixed five-day,5,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.191974563135773,0.09254305770419369,0.10620495133960242,0.18866891415765663,0.5629170646037366,0.17869404025455815,0.5178855297712319,154.99869340401835
DJIA30_2026,Proposed No-Sparse + Reliability-policy,M1 control,common fixed five-day,6,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.448725755618365,0.20541623187818847,0.20256146825692228,0.17591838276967062,1.151451400744943,0.14907396969234532,1.3779483588055026,155.3295369947879
DJIA30_2026,Proposed No-Sparse + Reliability-policy,M1 control,common fixed five-day,7,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.3236407212567525,0.15178691472742178,0.1605034477294905,0.19649329338890523,0.8168393178275932,0.21024337584300046,0.7219581312315346,156.74850338389365
DJIA30_2026,Proposed No-Sparse + Reliability-policy,M1 control,common fixed five-day,8,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.5576538311690047,0.2502744539118571,0.23772706556496773,0.16759039877222212,1.4185005066314733,0.11459180962683746,2.184051850885883,139.65587109097623
DJIA30_2026,Proposed No-Sparse + Reliability-policy,M1 control,common fixed five-day,9,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.0364809448872454,0.4311188326331583,0.3912575728670702,0.2542333330199921,1.5389703947133593,0.20670179888968776,2.085704309052661,139.12832343232935
DJIA30_2026,Proposed No-Sparse + Reliability-policy,M1 control,common fixed five-day,10,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.2219574642146311,0.10630854957784441,0.11853560769045964,0.18850665016736087,0.6288139308890206,0.20875250842280546,0.5092563935209249,149.46206710949372
DJIA30_2026,Proposed Fixed-5 + Reliability-policy,M2 control,common fixed five-day,1,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.4971650662220513,0.2255637907589807,0.21449710928104654,0.14615890057091593,1.4675610478950825,0.14101387117322517,1.5995858342325215,18.533243564894832
DJIA30_2026,Proposed Fixed-5 + Reliability-policy,M2 control,common fixed five-day,2,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.5656258711646354,0.25349540579604546,0.24096130934624652,0.17086747743524616,1.410223367039312,0.18967151923018455,1.336496943900178,19.30193583791846
DJIA30_2026,Proposed Fixed-5 + Reliability-policy,M2 control,common fixed five-day,3,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.7239950512797615,0.31587353213258496,0.29047573324355946,0.17487481568907268,1.661049546208101,0.1911376351194225,1.6525972602686418,25.5375879233685
DJIA30_2026,Proposed Fixed-5 + Reliability-policy,M2 control,common fixed five-day,4,100,0.001,50.4,nextclose_t1_t6_stride5_v2_20260905,chronological_90_10_label_availability_purge_v1_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.5657338115616253,0.2535389611832952,0.24106943353610552,0.17106168567228006,1.4092544019351376,0.1844848996558005,1.374307391316748,23.155631491365988
