dataset,method,category,scope,n,seed_scope,APV_mean,APV_std,APV_ci95_low,APV_ci95_high,GARR_mean,GARR_std,GARR_ci95_low,GARR_ci95_high,ARR_mean,ARR_std,ARR_ci95_low,ARR_ci95_high,AVol_mean,AVol_std,AVol_ci95_low,AVol_ci95_high,ASR_mean,ASR_std,ASR_ci95_low,ASR_ci95_high,MDD_mean,MDD_std,MDD_ci95_low,MDD_ci95_high,Calmar_mean,Calmar_std,Calmar_ci95_low,Calmar_ci95_high,Turnover_mean,Turnover_std,Turnover_ci95_low,Turnover_ci95_high
DJIA30_2026,Proposed No-Sparse + Reliability-policy,M1 control,common fixed five-day,10,001-010,1.4248322822670327,0.25637616126532214,1.2414318247796357,1.6082327397544298,0.19137031110673478,0.10364667036153352,0.11722594968274676,0.2655146725307228,0.19146985177161252,0.08722699453680903,0.12907141884264073,0.2538682847005843,0.19592078671516228,0.026382737693083778,0.17704771310800224,0.2147938603223223,0.9650074543470115,0.3536001869431765,0.7120571186646922,1.2179577900293308,0.17065144983639086,0.04288346693185136,0.13997446561472635,0.20132843405805537,1.2070624834070391,0.6684900900738864,0.7288534808997329,1.6852714859143454,148.58778265490665,6.347698080730636,144.04691299583925,153.12865231397404
DJIA30_2026,Proposed Fixed-5 + Reliability-policy,M2 control,common fixed five-day,10,001-010,1.6089928431125293,0.08938381726274137,1.5450515121516073,1.6729341740734514,0.27043984644279184,0.03538769388343027,0.24512501523690416,0.2957546776486795,0.2538304420212647,0.02873264355489022,0.23327634702748049,0.27438453701504895,0.16892146986995765,0.01006796177349419,0.16171928388623993,0.17612365585367537,1.5020226501992382,0.13700829389405766,1.4040128209868656,1.6000324794116108,0.181389249948334,0.016399155330994956,0.16965800093022113,0.19312049896644687,1.497844637526716,0.20441921132488658,1.3516119429923816,1.6440773320610504,21.682276538373564,3.572322295067343,19.126791114244167,24.23776196250296
DJIA30_2026,Proposed Feedback + Equal-policy,M3 composition control,common fixed five-day,10,001-010,2.2949599598817443,0.29840635361756296,2.081492914035896,2.5084270057275924,0.5169671923519228,0.10120205351286592,0.4445716044730814,0.5893627802307642,0.456134470429459,0.07855300077035823,0.3999410388436643,0.5123279020152537,0.28152786827048104,0.041059821818829535,0.2521554411744564,0.3109002953665057,1.6168449688205366,0.12336825978925507,1.52859263220271,1.7050973054383634,0.2549901006623887,0.03646504783897777,0.22890457686422527,0.2810756244605521,2.0355174853476736,0.34545313779288056,1.788395197538301,2.2826397731570465,25.21159962555625,7.43049502162289,19.896143697057674,30.527055554054826
DJIA30_2026,Proposed Feedback + Profit-score,M3 composition control,common fixed five-day,10,001-010,2.9274202044268853,1.0222343692834124,2.1961577888394297,3.658682620014341,0.6918018296194386,0.3195315808525936,0.463222706580812,0.9203809526580652,0.5925434372240244,0.2344020309481883,0.4248623256116884,0.7602245488363604,0.3999672248834973,0.08617936908007554,0.3383182180598705,0.46161623170712407,1.423334524443127,0.34664107998566573,1.1753624339822515,1.6713066149040026,0.33323985352891144,0.03684155122865906,0.30688499543081815,0.35959471162700474,2.0700326866761616,0.8827071036592044,1.4385820641241864,2.701483309228137,24.901013336762013,26.33471892675904,6.062290285708563,43.73973638781546
DJIA30_2026,Proposed Feedback J=1,M3 learner-count control,common fixed five-day,10,001-010,2.829756786204885,1.4163548315533094,1.8165575761483075,3.8429559962614626,0.6294273003426012,0.47297171769916635,0.29108371575769487,0.9677708849275075,0.530064961079442,0.3602153717338835,0.2723824072728183,0.7877475148860658,0.4000901791802545,0.10165760384661858,0.32736871022414593,0.4728116481363631,1.195987861794275,0.680519983672295,0.7091731918232547,1.6828025317652953,0.3355688583103654,0.060120424066049866,0.2925612977648317,0.37857641885589915,1.8983619218201988,1.3494332707232102,0.9330355124617689,2.8636883311786288,10.135773014380778,14.444596198458608,-0.1972686301441975,20.468814658905753
DJIA30_2026,Standard + Equal-policy,M3 training control,common fixed five-day,10,001-010,1.4729645332922572,0.2563419237320957,1.289588567860697,1.6563404987238173,0.21155095198054436,0.10454853716275357,0.13676143391203793,0.2863404700490508,0.20687521115356433,0.08949709259194523,0.1428528479036203,0.27089757440350837,0.18627527332324995,0.034805610337127355,0.16137683960206195,0.21117370704443794,1.1014075099852416,0.38228647650393605,0.8279362389589587,1.3748787810115246,0.20040778287101552,0.055207318138085125,0.16091484658081678,0.23990071916121425,1.083017169027973,0.5042269890862252,0.7223149102083468,1.4437194278475993,36.33259370376556,10.613445003429621,28.740192524422337,43.92499488310879
DJIA30_2026,Proposed Feedback + Reliability-policy,Proposed headline,common fixed five-day,10,001-010,2.4325200536165004,0.28633956523949183,2.227685068169792,2.6373550390632086,0.5626900874890228,0.09431497671292138,0.4952212175609721,0.6301589574170736,0.4915484206876478,0.07211106163801427,0.43996327474801805,0.5431335666272776,0.29989783055136543,0.03815011584922207,0.2726068817150435,0.32718877938768737,1.6368306791162404,0.10073164134034537,1.5647716038336643,1.7088897543988164,0.2642321432320512,0.03086776411052311,0.24215067500371504,0.2863136114603873,2.1380907329972483,0.3294154754250423,1.9024410977183346,2.373740368276162,23.686472681198495,7.196546630556922,18.53837334988968,28.83457201250731
SP500_TOP50_EX_PLTR_2026,Buy-and-Hold Equal Weight,Classical baseline,common fixed five-day,1,deterministic,1.6126062207533627,0.0,1.6126062207533627,1.6126062207533627,0.2754128450692388,0.0,0.2754128450692388,0.2754128450692388,0.2553948675778995,0.0,0.2553948675778995,0.2553948675778995,0.15166430502625028,0.0,0.15166430502625028,0.15166430502625028,1.6839484250014884,0.0,1.6839484250014884,1.6839484250014884,0.1775845520909619,0.0,0.1775845520909619,0.1775845520909619,1.5508828995900923,0.0,1.5508828995900923,1.5508828995900923,1.0000000000000084,0.0,1.0000000000000084,1.0000000000000084
SP500_TOP50_EX_PLTR_2026,Equal-Weight Rebalanced,Classical baseline,common fixed five-day,1,deterministic,1.6071658755100857,0.0,1.6071658755100857,1.6071658755100857,0.2732205230725433,0.0,0.2732205230725433,0.2732205230725433,0.2526400301736661,0.0,0.2526400301736661,0.2526400301736661,0.14462241050007077,0.0,0.14462241050007077,0.14462241050007077,1.746894062269433,0.0,1.746894062269433,1.746894062269433,0.16463959117287108,0.0,0.16463959117287108,0.16463959117287108,1.6595068119773364,0.0,1.6595068119773364,1.6595068119773364,3.6036643294691966,0.0,3.6036643294691966,3.6036643294691966
SP500_TOP50_EX_PLTR_2026,Minimum Variance (15-day shrinkage),Classical baseline,common fixed five-day,1,deterministic,1.1517017022519151,0.0,1.1517017022519151,1.1517017022519151,0.0745525047090696,0.0,0.0745525047090696,0.0745525047090696,0.07967015321052506,0.0,0.07967015321052506,0.07967015321052506,0.1240299229706744,0.0,0.1240299229706744,0.1240299229706744,0.6423462282514055,0.0,0.6423462282514055,0.6423462282514055,0.1839974149631971,0.0,0.1839974149631971,0.1839974149631971,0.4051823484801756,0.0,0.4051823484801756,0.4051823484801756,84.54995150972364,0.0,84.54995150972364,84.54995150972364
SP500_TOP50_EX_PLTR_2026,Momentum-15 Top-5 Equal Weight,Classical baseline,common fixed five-day,1,deterministic,1.2071483572143933,0.0,1.2071483572143933,1.2071483572143933,0.10058503293681254,0.0,0.10058503293681254,0.10058503293681254,0.11840359707007533,0.0,0.11840359707007533,0.11840359707007533,0.2129476810300293,0.0,0.2129476810300293,0.2129476810300293,0.5560220073651724,0.0,0.5560220073651724,0.5560220073651724,0.2857443128242467,0.0,0.2857443128242467,0.2857443128242467,0.352010620763184,0.0,0.352010620763184,0.352010620763184,106.11868197527606,0.0,106.11868197527606,106.11868197527606
SP500_TOP50_EX_PLTR_2026,Volatility-Scaled Momentum-15 Top-5,Classical baseline,common fixed five-day,1,deterministic,1.1801352515090222,0.0,1.1801352515090222,1.1801352515090222,0.08797725683294377,0.0,0.08797725683294377,0.08797725683294377,0.10226415147584758,0.0,0.10226415147584758,0.10226415147584758,0.1897351197475913,0.0,0.1897351197475913,0.1897351197475913,0.5389837770250008,0.0,0.5389837770250008,0.5389837770250008,0.30605837490820953,0.0,0.30605837490820953,0.30605837490820953,0.28745253861891273,0.0,0.28745253861891273,0.28745253861891273,121.89225028113287,0.0,121.89225028113287,121.89225028113287
SP500_TOP50_EX_PLTR_2026,DeepTrader,Learned baseline,common fixed five-day,10,001-010,1.7600229973618546,0.39047385578711274,1.4806948280235501,2.0393511667001594,0.32538152368473555,0.15755851192811743,0.21267095408249542,0.4380920932869757,0.31428939361199454,0.1337418527858974,0.21861623560429086,0.4099625516196982,0.2786891797359713,0.03394286894336909,0.254407914028875,0.30297044544306756,1.0917091242293469,0.4281062543655095,0.7854603586797456,1.3979578897789482,0.2746700921183264,0.050102868152643004,0.23882865937639552,0.31051152486025724,1.2113399354243513,0.6059937024117021,0.7778381554294083,1.6448417154192942,93.40008359298415,42.22136163090452,63.196740970831755,123.60342621513654
SP500_TOP50_EX_PLTR_2026,FinGAT,Learned baseline,common fixed five-day,10,001-010,1.3734808975023105,0.2796845848598742,1.1734065982292612,1.5735551967753598,0.1699256417692841,0.12099099544404517,0.08337389761812117,0.256477385920447,0.18193799177503533,0.10328631012624095,0.10805141653400108,0.2558245670160696,0.242709439182954,0.02120198226262625,0.22754245475111678,0.25787642361479124,0.7536612411273493,0.425226719990653,0.4494723703787816,1.0578501118759172,0.2461793375140255,0.0696522784122748,0.19635309913521326,0.2960055758928377,0.7846998489130438,0.6512337900447246,0.3188352598031002,1.2505644380229874,140.47867348121633,17.37907508367474,128.0464321007269,152.91091486170578
SP500_TOP50_EX_PLTR_2026,GERU,Learned baseline,common fixed five-day,10,001-010,1.4725308398423198,0.22617072810881944,1.3107380475612622,1.6343236321233774,0.2142082833571571,0.0996421311574097,0.14292859670806934,0.2854879700062449,0.21606041130395798,0.08772522846975628,0.15330556329026346,0.2788152593176525,0.22290616737596233,0.027101647652818434,0.20351881656433501,0.24229351818758965,0.9712871029731817,0.38012294040242256,0.6993635324384333,1.24321067350793,0.1953114960323597,0.03187727770450553,0.17250786528289697,0.21811512678182243,1.1546234095727608,0.5762149038888214,0.7424240987526696,1.566822720392852,147.12681746128848,19.649091451687404,133.07070419527474,161.18293072730222
SP500_TOP50_EX_PLTR_2026,MASTER,Learned baseline,common fixed five-day,10,001-010,1.7185504426700828,0.16134640026750918,1.603130180985213,1.8339707043549527,0.31609215522666173,0.06309157319294918,0.2709591626345319,0.36122514781879156,0.31195494594376777,0.04773803847669774,0.2778052104419687,0.34610468144556683,0.2760117242832197,0.016458590756042654,0.26423795772333963,0.28778549084309973,1.1341846322201687,0.18747218538640725,1.0000751097265896,1.2682941547137478,0.2535294516807537,0.039250654677934184,0.2254512247930237,0.2816076785684837,1.2886147752237045,0.3877641715589996,1.0112249972109806,1.5660045532364284,130.52710918790495,8.137218956316588,124.70609341210849,136.34812496370142
SP500_TOP50_EX_PLTR_2026,StockFormer v2,Learned baseline,common fixed five-day,10,001-010,1.4065559830988723,0.24343020206077695,1.2324165069328612,1.5806954592648834,0.185757714074593,0.1034557475951096,0.11174993057007336,0.2597654975791126,0.18482082166716746,0.08631308570173288,0.12307615973479502,0.2465654835995399,0.1872177984375571,0.011944088089983974,0.1786735125368651,0.1957620843382491,0.9934463322300765,0.47639543893117325,0.6526535650177356,1.3342390994424174,0.17842759290356333,0.04734150135976077,0.14456152296683886,0.2122936628402878,1.2074612143659713,0.9233930945494518,0.546905587254398,1.8680168414775447,172.50848605959638,7.93659804152506,166.83098584067818,178.18598627851458
SP500_TOP50_EX_PLTR_2026,Proposed No-Sparse + Reliability-policy,M1 control,common fixed five-day,10,001-010,1.3978730791676095,0.19273148689609138,1.2600012790184958,1.5357448793167232,0.18346956449859547,0.08184975065489611,0.12491778011563862,0.24202134888155233,0.20119646275043004,0.0768373724608375,0.14623031772392978,0.25616260777693034,0.2612484348609763,0.04337445349618358,0.23022022000977796,0.2922766497121747,0.7557047317336664,0.1973653625128761,0.6145180566606767,0.896891406806656,0.24877413132974668,0.07043762818478069,0.19838608756756987,0.2991621750919235,0.7818494148954392,0.33338157096015136,0.5433626057857458,1.0203362240051326,159.4943325521679,7.910204976559554,153.8357127945425,165.15295230979328
SP500_TOP50_EX_PLTR_2026,Proposed Fixed-5 + Reliability-policy,M2 control,common fixed five-day,10,001-010,1.7440868337768733,0.14674540209724368,1.639111496967168,1.8490621705865786,0.3262975006277702,0.0562950287891313,0.28602646301164775,0.3665685382438926,0.30849619696807695,0.044896567367052206,0.27637912744767895,0.34061326648847495,0.22837628422422487,0.023650893757503667,0.21145745404241614,0.2452951144060336,1.3562145705798427,0.1830677414998936,1.2252557974374414,1.487173343722244,0.24981571094221558,0.02527227404227772,0.23173701517648904,0.2678944067079421,1.3164540538382847,0.2486759295993884,1.1385620102506875,1.494346097425882,34.551983674713064,6.195553821331217,30.119951462310837,38.98401588711529
SP500_TOP50_EX_PLTR_2026,Proposed Feedback + Equal-policy,M3 composition control,common fixed five-day,10,001-010,1.9118067015742692,0.29842851914990687,1.6983237994617846,2.125289603686754,0.38708113713200565,0.10985289505631893,0.3084971100125972,0.4656651642514141,0.3931674136149042,0.09599163608616651,0.32449913382524215,0.46183569340456626,0.36521558459373804,0.08657517371977551,0.3032834361876866,0.4271477329997895,1.0954980149515823,0.241494826119863,0.9227430233305534,1.2682530065726112,0.34958199017799774,0.07495182108418949,0.2959646873503451,0.4031992930056504,1.145643134979716,0.3756517777537124,0.8769180415234406,1.4143682284359915,38.5062636476704,9.650665923558622,31.60259313203698,45.409934163303824
SP500_TOP50_EX_PLTR_2026,Proposed Feedback + Profit-score,M3 composition control,common fixed five-day,10,001-010,2.480759330705996,1.02869953240532,1.7448720160310565,3.2166466453809353,0.5612976113585801,0.31215484243117625,0.33799548909325355,0.7845997336239068,0.5997418201075568,0.18379680875204388,0.4682615036714127,0.7312221365437009,0.5880594712264258,0.12760150374179002,0.4967788543124947,0.6793400881403568,1.060745304872224,0.44405210836200293,0.7430895625446312,1.3784010471998167,0.4387992232785794,0.12277521528925275,0.35097112513937734,0.5266273214177815,1.567314821236852,1.4303173375746792,0.5441274360732307,2.5905022064004735,44.037889473988926,32.646817566770125,20.683763069635507,67.39201587834235
SP500_TOP50_EX_PLTR_2026,Proposed Feedback J=1,M3 learner-count control,common fixed five-day,10,001-010,1.9792313657122338,0.6048759687005346,1.5465291642466108,2.411933567177857,0.4003589001901113,0.2223946092916648,0.24126738058267114,0.5594504197975514,0.44591295515008156,0.18995532073036955,0.31002710463973915,0.581798805660424,0.4876575784582863,0.13666276986512224,0.38989492224619143,0.5854202346703811,0.9222256846609467,0.3247858149888228,0.6898879089473817,1.1545634603745116,0.3979212638863606,0.08599996092869702,0.33640059792280985,0.4594419298499114,1.0926508695410007,0.6996933180789052,0.5921204223917269,1.5931813166902744,37.6914832704184,25.5695420715935,19.400134766996537,55.98283177384027
SP500_TOP50_EX_PLTR_2026,Standard + Equal-policy,M3 training control,common fixed five-day,10,001-010,1.583185298643611,0.2512604274554455,1.4034444166662168,1.7629261806210053,0.2602160217021501,0.09796795909114099,0.19013396560245083,0.33029807780184933,0.24898520290626808,0.07978163030041384,0.19191286270126862,0.30605754311126754,0.195110711704516,0.04181870471467899,0.1651954124881224,0.2250260109209096,1.274861635527269,0.3084614142789181,1.0542016325973669,1.4955216384571712,0.20214093826270654,0.0417990065916013,0.17223973023469122,0.23204214629072187,1.3139323222939894,0.5219823814487882,0.940528620929585,1.6873360236583936,54.632777470891185,8.426006393773607,48.60517560735226,60.66037933443011
SP500_TOP50_EX_PLTR_2026,Proposed Feedback + Reliability-policy,Proposed headline,common fixed five-day,10,001-010,1.9824437673621809,0.3072800913561247,1.7626288319432803,2.2022587027810814,0.4131036538866337,0.10950605705938718,0.3347677397235834,0.49143956804968403,0.4224264158153182,0.0919358029659902,0.3566595042576388,0.4881933273729976,0.3949752572251878,0.08567139291737007,0.3336896346576208,0.45626087979275476,1.087390186745749,0.2210834133574744,0.9292366402049126,1.2455437332865853,0.3618611195823118,0.07505540322557988,0.30816971855448033,0.4155525206101433,1.180934322320517,0.37141342346034883,0.9152411648779497,1.4466274797630845,38.73117704430181,10.907188779135682,30.92864422642136,46.53370986218226
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,Buy-and-Hold Equal Weight,Classical baseline,common fixed five-day,1,deterministic,1.8947765791030131,0.0,1.8947765791030131,1.8947765791030131,0.3986786772164226,0.0,0.3986786772164226,0.3986786772164226,0.35465639705925467,0.0,0.35465639705925467,0.35465639705925467,0.1895739928062047,0.0,0.1895739928062047,0.1895739928062047,1.8708072336789798,0.0,1.8708072336789798,1.8708072336789798,0.18009087409925695,0.0,0.18009087409925695,0.18009087409925695,2.2137639078629334,0.0,2.2137639078629334,2.2137639078629334,1.0000000000000115,0.0,1.0000000000000115,1.0000000000000115
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,Equal-Weight Rebalanced,Classical baseline,common fixed five-day,1,deterministic,1.783103232307838,0.0,1.783103232307838,1.783103232307838,0.35477650332793287,0.0,0.35477650332793287,0.35477650332793287,0.31979401516193795,0.0,0.31979401516193795,0.31979401516193795,0.1742262123052983,0.0,0.1742262123052983,0.1742262123052983,1.835510345604941,0.0,1.835510345604941,1.835510345604941,0.16983541843837724,0.0,0.16983541843837724,0.16983541843837724,2.0889429695529573,0.0,2.0889429695529573,2.0889429695529573,3.8166383442944074,0.0,3.8166383442944074,3.8166383442944074
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,Minimum Variance (15-day shrinkage),Classical baseline,common fixed five-day,1,deterministic,1.1530064951446737,0.0,1.1530064951446737,1.1530064951446737,0.07761014351045992,0.0,0.07761014351045992,0.07761014351045992,0.07907162551158772,0.0,0.07907162551158772,0.07907162551158772,0.09281157820764142,0.0,0.09281157820764142,0.09281157820764142,0.8519586353190312,0.0,0.8519586353190312,0.8519586353190312,0.1458563903381227,0.0,0.1458563903381227,0.1458563903381227,0.5320997134958909,0.0,0.5320997134958909,0.5320997134958909,68.99594609860313,0.0,68.99594609860313,68.99594609860313
