dataset,universe_id,symbol,asset_order,sector_index,sector_label,sector_label_source
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,1303.TW,15,3,Archived broad group 3,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2002.TW,16,3,Archived broad group 3,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2059.TW,17,3,Archived broad group 3,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2603.TW,18,3,Archived broad group 3,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,6505.TW,19,3,Archived broad group 3,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2301.TW,20,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2303.TW,21,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2308.TW,22,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2317.TW,23,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2327.TW,24,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2330.TW,25,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2344.TW,26,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2345.TW,27,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2357.TW,28,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2360.TW,29,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2368.TW,30,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2382.TW,31,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2383.TW,32,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2395.TW,33,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2408.TW,34,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2412.TW,35,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2449.TW,36,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,2454.TW,37,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,3008.TW,38,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,3017.TW,39,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,3045.TW,40,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,3231.TW,41,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,3711.TW,42,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,f7ba44a6afaefa95c4f4f4751aa3e40cdadc728522b4651afbc48b45e65ed18f,4904.TW,43,4,Archived broad group 4,archived order.csv index with documented broad-group mapping
