dataset,step,information_end_date,execution_date,target_end_date,market_proxy_5d_return,trailing_12step_compounded_return,trailing_12step_annualized_volatility,validation_q75_volatility_threshold,regime,proposed_mean_wealth
DJIA30_2026,28,2024-07-24,2024-07-25,2024-08-01,0.012674013773600334,0.0472050032461544,0.07266180082044157,0.19076595792690793,Bull,1.660002208296937
DJIA30_2026,29,2024-07-31,2024-08-01,2024-08-08,-0.021431787808736114,0.012816199634237524,0.08667538323864421,0.19076595792690793,Bull,1.5949406100491494
DJIA30_2026,30,2024-08-07,2024-08-08,2024-08-15,0.03507081866264339,0.039250820572431344,0.11072708836300763,0.19076595792690793,Bull,1.7609839338560078
DJIA30_2026,31,2024-08-14,2024-08-15,2024-08-22,0.008893042802810669,0.06427085471119431,0.10333678300667884,0.19076595792690793,Bull,1.7666234355719055
DJIA30_2026,32,2024-08-21,2024-08-22,2024-08-29,0.012330343325932747,0.06940008132263009,0.10427959289263106,0.19076595792690793,Bull,1.7294113743786153
DJIA30_2026,33,2024-08-28,2024-08-29,2024-09-06,-0.023963856697082564,0.04275611971407778,0.12069591570054486,0.19076595792690793,Bull,1.6000916590579979
DJIA30_2026,34,2024-09-05,2024-09-06,2024-09-13,0.031499789158503155,0.07079346571604983,0.13358539122905408,0.19076595792690793,Bull,1.7603791079546849
DJIA30_2026,35,2024-09-12,2024-09-13,2024-09-20,0.016161684195200587,0.0803879652955124,0.13524509980181604,0.19076595792690793,Bull,1.7615227189169906
DJIA30_2026,36,2024-09-19,2024-09-20,2024-09-27,0.007306118806203132,0.09009683315875816,0.13396755218317044,0.19076595792690793,Bull,1.803718904200761
DJIA30_2026,37,2024-09-26,2024-09-27,2024-10-04,-0.0027837495009104263,0.07588458022219147,0.1353240034739615,0.19076595792690793,Bull,1.8255936068601801
DJIA30_2026,38,2024-10-03,2024-10-04,2024-10-11,0.011718223492304558,0.07175734763120545,0.13432455410548094,0.19076595792690793,Bull,1.9062372084657906
DJIA30_2026,39,2024-10-10,2024-10-11,2024-10-18,0.015879925092061375,0.10649344477962686,0.1260759432068504,0.19076595792690793,Bull,1.9420871551328667
DJIA30_2026,40,2024-10-17,2024-10-18,2024-10-25,-0.028720806042353275,0.06126359178526841,0.1468042106851636,0.19076595792690793,Bull,1.9505835239216125
DJIA30_2026,41,2024-10-24,2024-10-25,2024-11-01,-0.0031054159005482473,0.08113866133420156,0.13599923106667347,0.19076595792690793,Bull,1.9062177654630559
DJIA30_2026,42,2024-10-31,2024-11-01,2024-11-08,0.03626641631126404,0.08238747138470037,0.13715950512963976,0.19076595792690793,Bull,2.036729564408874
DJIA30_2026,43,2024-11-07,2024-11-08,2024-11-15,-0.007182896137237549,0.06514045494070397,0.1399584707852795,0.19076595792690793,Bull,1.9830374390875125
DJIA30_2026,44,2024-11-14,2024-11-15,2024-11-22,0.022604920466740897,0.07595102467442172,0.1438037231822999,0.19076595792690793,Bull,1.9876484210281202
DJIA30_2026,45,2024-11-21,2024-11-22,2024-12-02,0.013241144021352236,0.11696462741924263,0.12717298534453914,0.19076595792690793,Bull,1.9991546334390182
DJIA30_2026,46,2024-11-29,2024-12-02,2024-12-09,-0.0064505914847056145,0.07586987081232022,0.1205774185435837,0.19076595792690793,Bull,2.0219652269661843
DJIA30_2026,47,2024-12-06,2024-12-09,2024-12-16,-0.009928866227467803,0.04824627749125332,0.12258425958720554,0.19076595792690793,Bull,1.9838860903240998
DJIA30_2026,48,2024-12-13,2024-12-16,2024-12-23,-0.014241792758305838,0.025822589534332696,0.1278205417905135,0.19076595792690793,Bull,2.036912993005153
DJIA30_2026,49,2024-12-20,2024-12-23,2024-12-31,-0.007142460346221902,0.021338843863189627,0.12891829646005304,0.19076595792690793,Bull,1.9769493433648844
DJIA30_2026,50,2024-12-30,2024-12-31,2025-01-08,-0.00012308160463969653,0.009384937551413008,0.12706184661708345,0.19076595792690793,Bull,2.01870063011321
DJIA30_2026,51,2025-01-07,2025-01-08,2025-01-16,0.008243016401926706,0.001796855130570707,0.12386715873334753,0.19076595792690793,Bull,1.9557793120156621
