dataset,seed,regime,n_decisions,mean_5d_return,positive_ratio,turnover
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,5,Bear,9,-0.015929759971041353,0.1111111111111111,7.9299113334741955
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,5,High volatility,25,0.010083013143853964,0.64,22.871217892402946
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,6,Bull,62,0.01324814934235544,0.7096774193548387,39.96759065024892
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,6,Bear,9,-0.011661292294803591,0.3333333333333333,5.764275628070078
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,6,High volatility,25,0.007494165443645908,0.64,17.037976105505145
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,7,Bull,62,0.012364661482936508,0.7096774193548387,46.75654187645773
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,7,Bear,9,-0.012740752834304512,0.2222222222222222,6.2732531609121835
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,7,High volatility,25,0.002231706192056162,0.6,24.08827632700008
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,8,Bull,62,0.012308292698524244,0.6290322580645161,27.690896607440724
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,8,Bear,9,-0.010918301761378436,0.3333333333333333,5.817245862014991
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,8,High volatility,25,0.011325240221759944,0.68,12.575396882152683
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,9,Bull,62,0.015187589847370756,0.6451612903225806,22.9698286884577
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,9,Bear,9,-0.007580095731447134,0.2222222222222222,2.406059529166183
TAIWAN50_0050_EX_LATE_HISTORY_2026_PREVCLOSE_ADJUSTED,9,High volatility,25,0.008378447505766901,0.64,10.875871637114829
