dataset,method,fee,fee_bps,n,seed_scope,APV_mean,APV_std,GARR_mean,GARR_std,ARR_mean,ARR_std,AVol_mean,AVol_std,ASR_mean,ASR_std,MDD_mean,MDD_std,Calmar_mean,Calmar_std,Turnover_mean,Turnover_std
DJIA30_2026,Proposed Feedback + Reliability-policy,0.002,20,10,001-010,2.375943494677176,0.2826392101064801,0.5442040432608222,0.09433448092595256,0.47948380362389803,0.0728669786551513,0.29979235093005985,0.038155923782062694,1.5965376217036746,0.10781244377595556,0.2666197943499079,0.031635438848911866,2.050971482919004,0.33322831480452664,23.686472681198495,7.196546630556922
DJIA30_2026,Proposed Feedback + Reliability-policy,0.005,50,10,001-010,2.21442748539155,0.27567256201702417,0.49010737834167484,0.09583052009846264,0.4432899524326482,0.07614173223908019,0.29950995022838334,0.038167959381164,1.4753318446311714,0.13638517664603655,0.2738791173811683,0.03433840897772088,1.803414500640669,0.3450360166709889,23.686472681198495,7.196546630556922
SP500_TOP50_EX_PLTR_2026,Buy-and-Hold Equal Weight,0.0005,5,1,deterministic,1.6134133309739613,0.0,0.2757377806737833,0.0,0.2556550117229114,0.0,0.15169230119517282,0.0,1.6853525835432899,0.0,0.17758455209096213,0.0,1.5527126511124978,0.0,1.0000000000000084,0.0
SP500_TOP50_EX_PLTR_2026,Buy-and-Hold Equal Weight,0.001,10,1,deterministic,1.6126062207533627,0.0,0.2754128450692388,0.0,0.2553948675778995,0.0,0.15166430502625028,0.0,1.6839484250014884,0.0,0.1775845520909619,0.0,1.5508828995900923,0.0,1.0000000000000084,0.0
SP500_TOP50_EX_PLTR_2026,Buy-and-Hold Equal Weight,0.002,20,1,deterministic,1.6109920003121705,0.0,0.27476273426082054,0.0,0.2548745792878757,0.0,0.151610927612247,0.0,1.6811095565600058,0.0,0.1775845520909619,0.0,1.5472220473325984,0.0,1.0000000000000084,0.0
SP500_TOP50_EX_PLTR_2026,Buy-and-Hold Equal Weight,0.005,50,1,deterministic,1.6061493389885864,0.0,0.27281048073897285,0.0,0.25331371441780426,0.0,0.15147174657990287,0.0,1.6723495974490445,0.0,0.1775845520909619,0.0,1.5362286726338368,0.0,1.0000000000000084,0.0
SP500_TOP50_EX_PLTR_2026,FinGAT,0.0005,5,10,001-010,1.473714938509792,0.30060263224470596,0.21260919372637507,0.12574637863949983,0.2178885497100715,0.10387775014722161,0.24291155451186341,0.021258002665199064,0.9014086067943126,0.4265551136342815,0.23663438986608823,0.0662098927438543,0.9950071849403572,0.7022363679201041,140.47867348121633,17.37907508367474
SP500_TOP50_EX_PLTR_2026,FinGAT,0.001,10,10,001-010,1.3734808975023105,0.2796845848598742,0.1699256417692841,0.12099099544404517,0.18193799177503533,0.10328631012624095,0.242709439182954,0.02120198226262625,0.7536612411273493,0.425226719990653,0.2461793375140255,0.0696522784122748,0.7846998489130438,0.6512337900447246,140.47867348121633,17.37907508367474
SP500_TOP50_EX_PLTR_2026,FinGAT,0.002,20,10,001-010,1.1930608705490617,0.243695606627821,0.08898067874737761,0.11268209444126796,0.11003687590496321,0.10267444208819165,0.2423334149879084,0.02108705845107129,0.4573931597743369,0.4247038511528406,0.26901620954144334,0.07706978593037124,0.4196067458540962,0.5466539300564623,140.47867348121633,17.37907508367474
SP500_TOP50_EX_PLTR_2026,FinGAT,0.005,50,10,001-010,0.7822693526006759,0.16911482915077297,-0.12198304975824178,0.09525390090337352,-0.10566647170525385,0.1054334581691036,0.241432368444207,0.02072003758148413,-0.436384617306887,0.43988733928368556,0.3985827384521907,0.106422375364842,-0.2631370232385028,0.20633905749787934,140.47867348121633,17.37907508367474
