dataset,method,seed,fee,fee_bps,protocol_id,accounting_protocol_id,APV,GARR,ARR,AVol,ASR,MDD,Calmar,Turnover
DJIA30_2026,Proposed Feedback + Reliability-policy,8,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.700027617669424,0.6497174797683607,0.5693712313355309,0.36818089972215773,1.5464442391367899,0.3404132459156941,1.908613978932148,19.99304266493599
DJIA30_2026,Proposed Feedback + Reliability-policy,8,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.5426734539299636,0.600539721787291,0.5388101192516861,0.3680136093978191,1.4641037871760816,0.3500238482689424,1.7157108715799947,19.99304266493599
DJIA30_2026,Proposed Feedback + Reliability-policy,9,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.57720524016528,0.6114584009411486,0.5260317451569493,0.3083795463479859,1.7057932388400274,0.24065595935875284,2.5407989171364327,16.063669094839707
DJIA30_2026,Proposed Feedback + Reliability-policy,9,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.556583815124185,0.6049468611783786,0.5219097874196947,0.3082426507246166,1.6931783651379508,0.24187503634538787,2.5010719184535386,16.063669094839707
DJIA30_2026,Proposed Feedback + Reliability-policy,9,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.515825501093482,0.591999692543719,0.5136658719451859,0.30797173983979376,1.6678993735347074,0.2443078290515448,2.4231711887498175,16.063669094839707
DJIA30_2026,Proposed Feedback + Reliability-policy,9,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.3973381797199087,0.5537586813134705,0.4889341255216591,0.3071821407196471,1.5916749729532282,0.2515634884854825,2.201268095967859,16.063669094839707
DJIA30_2026,Proposed Feedback + Reliability-policy,10,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.347465583832822,0.5373827854616624,0.4671106271469053,0.2673060346436667,1.747475053339476,0.24148906976448892,2.2252882334829582,14.690726828749774
DJIA30_2026,Proposed Feedback + Reliability-policy,10,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.330281920891667,0.5317005445371124,0.4633649603169287,0.26724612741392395,1.7338509814933492,0.24244479526180274,2.193078815995857,14.690726828749774
DJIA30_2026,Proposed Feedback + Reliability-policy,10,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.296283442380975,0.5203964578196891,0.4558736266569768,0.26712969777226037,1.7065628810976636,0.24435305443629107,2.129690823878649,14.690726828749774
DJIA30_2026,Proposed Feedback + Reliability-policy,10,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,2.197177183330016,0.48696244669828603,0.433399625677122,0.26680753927610196,1.6243904758201926,0.2500523719098211,1.9474418218032508,14.690726828749774
DJIA30_2026,FinGAT,1,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.31582513283909,0.14835424827241894,0.1579272486543588,0.19542030228561685,0.8081414612875789,0.24631322949606282,0.6022991480235953,120.34603940910705
DJIA30_2026,FinGAT,1,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.2389089855449644,0.11401710453181968,0.12744362550143454,0.19508710047685457,0.6532652604396806,0.25219392712911504,0.4521009123009003,120.34603940910705
DJIA30_2026,FinGAT,1,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.0981705947936622,0.04832896300447054,0.06647637919558523,0.19444866185756496,0.3418711065457455,0.26383023094037406,0.18318205170124321,120.34603940910705
DJIA30_2026,FinGAT,1,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.7640871707230869,-0.1268195058016558,-0.11642535972196164,0.1927602787096168,-0.6039904097531956,0.31597504529920983,-0.4013592455744888,120.34603940910705
DJIA30_2026,FinGAT,2,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.1816548363216242,0.08776550127162541,0.09939972612902254,0.17429794230800755,0.5702862857288932,0.19078539610129042,0.4600221141927948,143.37076997257003
DJIA30_2026,FinGAT,2,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.0998228052560102,0.04912358709266185,0.06315881424718506,0.1741016512913911,0.3627697599575157,0.21738986784965797,0.22596999381146243,143.37076997257003
DJIA30_2026,FinGAT,2,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.9526119299565741,-0.024171108698693877,-0.009323009516488666,0.17373362180654192,-0.05366266713112182,0.27550183193103395,-0.08773483838301518,143.37076997257003
DJIA30_2026,FinGAT,2,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.6181960310715704,-0.2152567096923801,-0.2267684808075111,0.17282773131822396,-1.3121070274883562,0.44787103831725994,-0.48062207929573236,143.37076997257003
DJIA30_2026,FinGAT,3,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.3218876603364111,0.15101783337116315,0.15766468475765108,0.1836199834396728,0.858646656013074,0.20938962658816218,0.721228820318747,110.77429432966684
DJIA30_2026,FinGAT,3,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.2505974772711455,0.11930190866529178,0.12968755228303136,0.1837609789464952,0.7057404299135338,0.22376573803443445,0.5331553870277177,110.77429432966684
DJIA30_2026,FinGAT,3,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.1192268396959026,0.05841194018985241,0.07373328733379048,0.18407619219617696,0.4005585211976252,0.2517651890955055,0.2320095975130788,110.77429432966684
DJIA30_2026,FinGAT,3,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.8015947797233012,-0.10547339959643742,-0.09412950751393073,0.18528539646823775,-0.5080244277646929,0.34520078439601687,-0.3055421782455673,110.77429432966684
DJIA30_2026,FinGAT,4,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.6183319275462413,0.27458872249773925,0.26842924222381415,0.22511556541784586,1.1924064056857733,0.24149186805821166,1.1370516312025447,145.3377870527704
DJIA30_2026,FinGAT,4,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.5047746796565225,0.22869933531993403,0.23157234526297474,0.22492683160738627,1.0295452241428817,0.25065667115196155,0.9124007522675676,145.3377870527704
DJIA30_2026,FinGAT,4,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.300786981895674,0.14172080664981968,0.1578585513412961,0.22457037753814324,0.7029357703888788,0.2686749761984991,0.5274804846176492,145.3377870527704
DJIA30_2026,FinGAT,4,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.8391182487580038,-0.08460849942331028,-0.06328283042373786,0.22367027010427457,-0.28292910986442477,0.3678280936178976,-0.230021852303653,145.3377870527704
DJIA30_2026,FinGAT,5,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.0735925045616992,0.036437440756424966,0.04854972317531642,0.15930414163963222,0.30476121132583317,0.17665479392480266,0.20626352643413365,125.47983593920443
DJIA30_2026,FinGAT,5,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.0082396009857344,0.0041443077503671155,0.016847998505875806,0.1590344550658537,0.10593929786409688,0.17996052460569656,0.02302898238070556,125.47983593920443
